2022-12-29 16:24:52,144 INFO    MainThread:26672 [wandb_setup.py:_flush():68] Configure stats pid to 26672
2022-12-29 16:24:52,145 INFO    MainThread:26672 [wandb_setup.py:_flush():68] Loading settings from C:\Users\hokarami\.config\wandb\settings
2022-12-29 16:24:52,145 INFO    MainThread:26672 [wandb_setup.py:_flush():68] Loading settings from C:\DATA\Tasks\220702\codes\thp_final\wandb\settings
2022-12-29 16:24:52,145 INFO    MainThread:26672 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'api_key': '***REDACTED***'}
2022-12-29 16:24:52,145 INFO    MainThread:26672 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'Optuna1.py', 'program': 'C:\\DATA\\Tasks\\220702\\codes\\thp_final\\Optuna1.py'}
2022-12-29 16:24:52,145 INFO    MainThread:26672 [wandb_init.py:_log_setup():476] Logging user logs to C:\DATA\Tasks\220702\codes\thp_final\wandb\run-20221229_162452-2nzjqjxg\logs\debug.log
2022-12-29 16:24:52,146 INFO    MainThread:26672 [wandb_init.py:_log_setup():477] Logging internal logs to C:\DATA\Tasks\220702\codes\thp_final\wandb\run-20221229_162452-2nzjqjxg\logs\debug-internal.log
2022-12-29 16:24:52,147 INFO    MainThread:26672 [wandb_init.py:init():516] calling init triggers
2022-12-29 16:24:52,147 INFO    MainThread:26672 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'d_type_emb': 16, 'd_time': 8, 'd_inner': 8, 'n_layers': 8, 'n_head': 4, 'trial.number': 10}
2022-12-29 16:24:52,147 INFO    MainThread:26672 [wandb_init.py:init():569] starting backend
2022-12-29 16:24:52,147 INFO    MainThread:26672 [wandb_init.py:init():573] setting up manager
2022-12-29 16:24:52,153 INFO    MainThread:26672 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn, using: spawn
2022-12-29 16:24:52,161 INFO    MainThread:26672 [wandb_init.py:init():580] backend started and connected
2022-12-29 16:24:52,167 INFO    MainThread:26672 [wandb_init.py:init():658] updated telemetry
2022-12-29 16:24:52,211 INFO    MainThread:26672 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-29 16:24:52,683 INFO    MainThread:26672 [wandb_run.py:_on_init():2006] communicating current version
2022-12-29 16:24:52,795 INFO    MainThread:26672 [wandb_run.py:_on_init():2010] got version response 
2022-12-29 16:24:52,795 INFO    MainThread:26672 [wandb_init.py:init():728] starting run threads in backend
2022-12-29 16:24:53,742 INFO    MainThread:26672 [wandb_run.py:_console_start():1986] atexit reg
2022-12-29 16:24:53,742 INFO    MainThread:26672 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2022-12-29 16:24:53,742 INFO    MainThread:26672 [wandb_run.py:_redirect():1909] Wrapping output streams.
2022-12-29 16:24:53,742 INFO    MainThread:26672 [wandb_run.py:_redirect():1931] Redirects installed.
2022-12-29 16:24:53,743 INFO    MainThread:26672 [wandb_init.py:init():765] run started, returning control to user process
2022-12-29 16:28:14,587 INFO    MainThread:26672 [wandb_run.py:_finish():1753] finishing run hokarami/TEDAM2/2nzjqjxg
2022-12-29 16:28:14,587 INFO    MainThread:26672 [wandb_run.py:_atexit_cleanup():1955] got exitcode: 0
2022-12-29 16:28:14,587 INFO    MainThread:26672 [wandb_run.py:_restore():1938] restore
2022-12-29 16:28:14,587 INFO    MainThread:26672 [wandb_run.py:_restore():1944] restore done
2022-12-29 16:28:26,801 INFO    MainThread:26672 [wandb_run.py:_footer_sync_info():3364] logging synced files
